Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.94234e-05,0.08,0.06
-4.94224e-05,0.08,0.1
-4.94214e-05,0.08,0.1
-4.94204e-05,0.08,0.06
-4.94194e-05,0.08,0.02
-4.94184e-05,0.08,-0.02
-4.94174e-05,0.04,-0.02
-4.94164e-05,0.04,-0.02
-4.94154e-05,0.04,-0.02
-4.94144e-05,0.04,0.02
-4.94134e-05,0.08,0.06
-4.94124e-05,0.04,0.06
-4.94114e-05,0.04,0.1
-4.94104e-05,0.04,0.06
-4.94094e-05,0.08,0.06
-4.94084e-05,0.08,0.02
-4.94074e-05,0.04,-0.02
-4.94064e-05,0.04,-0.02
-4.94054e-05,0.08,-0.02
-4.94044e-05,0.04,-0.02
-4.94034e-05,0.08,0.02
-4.94024e-05,0.04,0.06
-4.94014e-05,0.08,0.06
-4.94004e-05,0.04,0.1
-4.93994e-05,0.08,0.06
-4.93984e-05,0.08,0.06
-4.93974e-05,0.08,0.02
-4.93964e-05,0.04,-0.02
-4.93954e-05,0.04,-0.02
-4.93944e-05,0.04,-0.02
-4.93934e-05,0.08,-0.02
-4.93924e-05,0.08,0.02
-4.93914e-05,0.08,0.06
-4.93904e-05,0.08,0.1
-4.93894e-05,0.08,0.06
-4.93884e-05,0.08,0.06
-4.93874e-05,0.08,0.06
-4.93864e-05,0.08,0.02
-4.93854e-05,0.08,-0.02
-4.93844e-05,0.04,-0.02
-4.93834e-05,0.08,-0.02
-4.93824e-05,0.04,-0.02
-4.93814e-05,0.08,0.02
-4.93804e-05,0.04,0.06
-4.93794e-05,0.08,0.1
-4.93784e-05,0.08,0.1
-4.93774e-05,0.08,0.06
-4.93764e-05,0.04,0.02
-4.93754e-05,0.08,-0.02
-4.93744e-05,0.04,-0.02
-4.93734e-05,0.08,-0.02
-4.93724e-05,0.04,-0.02
-4.93714e-05,0.04,0.02
-4.93704e-05,0.04,0.06
-4.93694e-05,0.04,0.06
-4.93684e-05,0.04,0.06
-4.93674e-05,0.08,0.06
-4.93664e-05,0.08,0.06
-4.93654e-05,0.08,0.02
-4.93644e-05,0.08,0.02
-4.93634e-05,0.08,-0.02
-4.93624e-05,0.04,-0.02
-4.93614e-05,0.08,-0.02
-4.93604e-05,0.04,0.02
-4.93594e-05,0.08,0.06
-4.93584e-05,0.04,0.1
-4.93574e-05,0.08,0.06
-4.93564e-05,0.04,0.06
-4.93554e-05,0.08,0.02
-4.93544e-05,0.04,0.02
-4.93534e-05,0.08,0.02
-4.93524e-05,0.08,-0.02
-4.93514e-05,0.08,0.02
-4.93504e-05,0.08,0.06
-4.93494e-05,0.08,0.02
-4.93484e-05,0.08,0.02
-4.93474e-05,0.08,0.02
-4.93464e-05,0.08,0.02
-4.93454e-05,0.08,0.02
-4.93444e-05,0.08,0.06
-4.93434e-05,0.08,0.02
-4.93424e-05,0.08,0.06
-4.93414e-05,0.08,0.02
-4.93404e-05,0.08,0.06
-4.93394e-05,0.08,0.02
-4.93384e-05,0.04,0.02
-4.93374e-05,0.08,-0.02
-4.93364e-05,0.04,0.02
-4.93354e-05,0.08,0.02
-4.93344e-05,0.08,0.02
-4.93334e-05,0.08,0.06
-4.93324e-05,0.08,0.06
-4.93314e-05,0.08,0.06
-4.93304e-05,0.08,0.06
-4.93294e-05,0.08,0.02
-4.93284e-05,0.08,-0.02
-4.93274e-05,0.08,-0.02
-4.93264e-05,0.04,-0.02
-4.93254e-05,0.04,-0.02
-4.93244e-05,0.08,0.02
-4.93234e-05,0.08,0.06
-4.93224e-05,0.08,0.1
-4.93214e-05,0.08,0.1
-4.93204e-05,0.08,0.06
-4.93194e-05,0.08,0.02
-4.93184e-05,0.08,-0.02
-4.93174e-05,0.08,-0.06
-4.93164e-05,0.08,-0.02
-4.93154e-05,0.04,-0.02
-4.93144e-05,0.04,0.02
-4.93134e-05,0.04,0.06
-4.93124e-05,0.04,0.06
-4.93114e-05,0.08,0.1
-4.93104e-05,0.08,0.06
-4.93094e-05,0.08,0.02
-4.93084e-05,0.08,-0.02
-4.93074e-05,0.04,-0.02
-4.93064e-05,0.04,-0.02
-4.93054e-05,0.04,-0.02
-4.93044e-05,0.04,-0.02
-4.93034e-05,0.04,0.02
-4.93024e-05,0.04,0.06
-4.93014e-05,0.04,0.06
-4.93004e-05,0.08,0.1
-4.92994e-05,0.08,0.06
-4.92984e-05,0.08,0.02
-4.92974e-05,0.04,0.02
-4.92964e-05,0.04,0.02
-4.92954e-05,0.08,-0.02
-4.92944e-05,0.04,-0.02
-4.92934e-05,0.08,0.02
-4.92924e-05,0.08,0.06
-4.92914e-05,0.08,0.06
-4.92904e-05,0.08,0.06
-4.92894e-05,0.08,0.06
-4.92884e-05,0.08,0.06
-4.92874e-05,0.08,0.02
-4.92864e-05,0.08,0.02
-4.92854e-05,0.04,0.02
-4.92844e-05,0.04,0.02
-4.92834e-05,0.08,0.02
-4.92824e-05,0.04,0.02
-4.92814e-05,0.04,0.02
