Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.94818e-05,0.12,0.06
-4.94808e-05,0.04,0.06
-4.94798e-05,0.04,0.06
-4.94788e-05,0,0.02
-4.94778e-05,0,0.02
-4.94768e-05,0.04,-0.02
-4.94758e-05,0.08,-0.02
-4.94748e-05,0.08,-0.02
-4.94738e-05,0.12,0.02
-4.94728e-05,0.12,0.06
-4.94718e-05,0.12,0.06
-4.94708e-05,0.04,0.06
-4.94698e-05,0.04,0.06
-4.94688e-05,0,0.06
-4.94678e-05,0,0.02
-4.94668e-05,0,0.02
-4.94658e-05,0.04,0.02
-4.94648e-05,0.08,0.02
-4.94638e-05,0.12,0.02
-4.94628e-05,0.12,0.06
-4.94618e-05,0.12,0.06
-4.94608e-05,0.08,0.1
-4.94598e-05,0.04,0.06
-4.94588e-05,0,0.06
-4.94578e-05,-0.04,0.06
-4.94568e-05,0,0.02
-4.94558e-05,0.04,0.02
-4.94548e-05,0.04,0.02
-4.94538e-05,0.12,0.02
-4.94528e-05,0.12,0.02
-4.94518e-05,0.12,0.06
-4.94508e-05,0.12,0.06
-4.94498e-05,0.08,0.06
-4.94488e-05,0,0.06
-4.94478e-05,0,0.06
-4.94468e-05,0,0.02
-4.94458e-05,0,0.02
-4.94448e-05,0.04,-0.02
-4.94438e-05,0.08,-0.02
-4.94428e-05,0.08,0.02
-4.94418e-05,0.12,0.02
-4.94408e-05,0.08,0.02
-4.94398e-05,0.08,0.06
-4.94388e-05,0.04,0.06
-4.94378e-05,0,0.06
-4.94368e-05,0,0.02
-4.94358e-05,0,0.02
-4.94348e-05,0,0.02
-4.94338e-05,0.04,0.02
-4.94328e-05,0.08,0.02
-4.94318e-05,0.08,0.02
-4.94308e-05,0.08,0.06
-4.94298e-05,0.08,0.06
-4.94288e-05,0.04,0.1
-4.94278e-05,0.04,0.06
-4.94268e-05,0,0.06
-4.94258e-05,0,0.02
-4.94248e-05,0,0.02
-4.94238e-05,0.04,0.02
-4.94228e-05,0.08,0.02
-4.94218e-05,0.12,0.02
-4.94208e-05,0.12,0.06
-4.94198e-05,0.12,0.02
-4.94188e-05,0.08,0.06
-4.94178e-05,0.08,0.06
-4.94168e-05,0.04,0.06
-4.94158e-05,0.04,0.02
-4.94148e-05,0.04,0.02
-4.94138e-05,0.04,0.02
-4.94128e-05,0.04,0.02
-4.94118e-05,0.04,0.02
-4.94108e-05,0.08,0.02
-4.94098e-05,0.12,0.02
-4.94088e-05,0.08,0.02
-4.94078e-05,0.08,0.02
-4.94068e-05,0.04,0.02
-4.94058e-05,0.04,0.06
-4.94048e-05,0.04,0.06
-4.94038e-05,0.04,0.06
-4.94028e-05,0.04,0.06
-4.94018e-05,0.04,0.06
-4.94008e-05,0.04,0.06
-4.93998e-05,0.08,0.02
-4.93988e-05,0.04,0.02
-4.93978e-05,0.08,0.02
-4.93968e-05,0.08,0.02
-4.93958e-05,0.08,0.02
-4.93948e-05,0.08,0.06
-4.93938e-05,0.08,0.1
-4.93928e-05,0.08,0.06
-4.93918e-05,0.08,0.06
-4.93908e-05,0.04,0.06
-4.93898e-05,0.04,0.02
-4.93888e-05,0.04,0.02
-4.93878e-05,0.04,-0.02
-4.93868e-05,0.08,-0.02
-4.93858e-05,0.12,0.02
-4.93848e-05,0.08,0.02
-4.93838e-05,0.08,0.06
-4.93828e-05,0.04,0.1
-4.93818e-05,0.04,0.06
-4.93808e-05,0,0.06
-4.93798e-05,0,0.02
-4.93788e-05,0,-0.02
-4.93778e-05,0.04,-0.02
-4.93768e-05,0.08,-0.02
-4.93758e-05,0.16,-0.02
-4.93748e-05,0.12,0.06
-4.93738e-05,0.16,0.06
-4.93728e-05,0.12,0.1
-4.93718e-05,0.04,0.1
-4.93708e-05,0.04,0.06
-4.93698e-05,0,0.06
-4.93688e-05,0,0.02
-4.93678e-05,0.04,0.02
-4.93668e-05,0.08,0.02
-4.93658e-05,0.12,0.02
