Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.91996e-05,0.08,0.06
-4.91986e-05,0.04,0.06
-4.91976e-05,0.08,0.06
-4.91966e-05,0.04,0.06
-4.91956e-05,0.08,0.02
-4.91946e-05,0.08,0.06
-4.91936e-05,0.08,0.02
-4.91926e-05,0.08,0.06
-4.91916e-05,0.08,0.02
-4.91906e-05,0.08,0.06
-4.91896e-05,0.08,0.06
-4.91886e-05,0.04,0.06
-4.91876e-05,0.04,0.02
-4.91866e-05,0.04,0.06
-4.91856e-05,0.04,0.02
-4.91846e-05,0.04,0.06
-4.91836e-05,0.08,0.02
-4.91826e-05,0.08,0.06
-4.91816e-05,0.08,0.02
-4.91806e-05,0.08,0.06
-4.91796e-05,0.04,0.02
-4.91786e-05,0.04,0.06
-4.91776e-05,0.04,0.02
-4.91766e-05,0.04,0.06
-4.91756e-05,0.04,0.02
-4.91746e-05,0.04,0.02
-4.91736e-05,0.04,0.02
-4.91726e-05,0.08,0.02
-4.91716e-05,0.12,0.06
-4.91706e-05,0.08,0.06
-4.91696e-05,0.08,0.02
-4.91686e-05,0.08,0.06
-4.91676e-05,0.04,0.02
-4.91666e-05,0.04,0.06
-4.91656e-05,0.04,0.02
-4.91646e-05,0.04,0.02
-4.91636e-05,0.08,0.02
-4.91626e-05,0.08,0.02
-4.91616e-05,0.08,0.02
-4.91606e-05,0.08,0.06
-4.91596e-05,0.08,0.06
-4.91586e-05,0.04,0.06
-4.91576e-05,0.08,0.02
-4.91566e-05,0.04,0.02
-4.91556e-05,0.08,0.02
-4.91546e-05,0.04,0.02
-4.91536e-05,0.04,0.02
-4.91526e-05,0.04,0.02
-4.91516e-05,0.08,0.06
-4.91506e-05,0.08,0.06
-4.91496e-05,0.08,0.06
-4.91486e-05,0.08,0.06
-4.91476e-05,0.08,0.02
-4.91466e-05,0.08,0.06
-4.91456e-05,0.08,0.02
-4.91446e-05,0.04,0.06
